,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
184,Andre Drummond,CHI,15,15.3,7.3,3.1,5.5,55.4,0.0,0.1,0.0,1.1,1.5,73.9,2.9,5.6,8.5,0.9,0.6,0.5,1.3,13.5
185,Terence Davis,SAC,19,13.3,7.3,2.5,5.6,44.9,1.5,3.6,40.6,0.7,0.8,87.5,0.4,2.6,3.0,1.4,0.7,0.2,0.7,8.7
186,Isaiah Jackson,IND,20,16.6,7.2,2.6,4.6,56.5,0.0,0.2,0.0,2.0,2.9,70.2,1.6,3.1,4.7,1.1,0.6,1.2,1.0,10.8
187,Edmond Sumner,BKN,19,15.4,7.1,2.4,5.5,43.8,0.6,2.2,29.3,1.6,1.7,93.9,0.3,1.1,1.4,1.2,0.9,0.3,1.1,6.5
188,Andrew Nembhard,IND,16,21.1,7.0,2.6,5.8,45.2,1.3,3.3,40.4,0.4,0.4,100,0.4,1.9,2.3,3.0,0.8,0.2,1.0,9.1
189,R.J. Hampton,ORL,19,16.4,6.9,2.4,5.4,44.1,0.9,2.5,36.2,1.3,1.5,86.2,0.4,1.2,1.6,1.6,0.8,0.2,1.0,6.9
190,Josh Green,DAL,21,19.3,6.8,2.3,3.8,60.0,1.0,2.2,47.8,1.2,1.8,67.6,0.9,1.3,2.2,0.9,0.9,0.0,0.7,8.0
191,Jalen Duren,DET,21,22.0,6.8,2.9,4.9,59.2,0.0,0.0,0.0,1.0,2.0,46.5,2.9,4.0,6.9,0.5,0.6,0.9,1.0,11.5
192,Dean Wade,CLE,16,24.9,6.8,2.4,5.2,45.8,1.4,3.4,41.8,0.6,0.8,69.2,0.6,3.7,4.3,1.1,0.7,0.4,0.4,9.7
193,Davion Mitchell,SAC,20,19.1,6.7,2.7,5.9,46.2,0.9,2.7,34.0,0.4,0.6,72.7,0.1,1.2,1.3,2.1,0.5,0.2,1.1,6.4
194,Trey Lyles,SAC,16,14.7,6.7,2.2,5.3,41.2,1.3,3.8,35.0,1.0,1.4,72.7,1.1,1.8,2.8,0.8,0.4,0.4,1.1,6.5
195,Jock Landale,PHX,18,13.4,6.7,2.6,4.9,51.7,0.2,1.5,11.1,1.4,1.7,80.6,1.4,2.2,3.6,0.8,0.3,0.7,0.8,8.5
196,Naji Marshall,NOP,19,20.2,6.6,2.4,5.8,41.8,0.8,2.3,34.1,1.0,1.3,76.0,0.8,2.1,2.8,2.0,0.6,0.2,0.9,7.6
197,Jordan Nwora,MIL,19,18.4,6.6,2.1,6.3,33.3,1.2,3.3,34.9,1.2,1.4,88.5,0.8,2.9,3.7,1.2,0.3,0.2,0.9,6.6
198,Derrick Rose,NYK,20,13.6,6.6,2.6,6.5,40.3,0.9,2.4,36.2,0.5,0.5,100,0.4,1.4,1.8,2.0,0.4,0.3,0.9,6.2
199,Cam Thomas,BKN,17,15.5,6.5,2.1,5.5,37.6,0.4,1.2,28.6,2.1,2.6,79.5,0.1,1.4,1.5,1.6,0.5,0.2,0.8,5.6
200,Kyle Anderson,MIN,17,21.6,6.5,2.4,4.8,48.8,0.5,1.2,42.9,1.2,1.5,80.8,0.7,3.2,3.9,2.8,0.9,0.8,1.2,10.9
201,Isaiah Hartenstein,NYK,22,21.5,6.4,2.7,5.0,54.1,0.2,0.8,22.2,0.9,1.0,82.6,2.9,4.0,6.9,0.8,0.8,1.0,0.9,12.5
202,Hamidou Diallo,DET,23,15.6,6.4,2.4,5.1,47.9,0.1,0.6,15.4,1.4,2.3,62.3,1.0,2.0,2.9,1.0,0.6,0.2,0.9,6.6
203,Aaron Wiggins,OKC,16,19.8,6.4,2.3,4.9,47.4,0.8,2.0,40.6,0.9,1.1,83.3,0.8,2.8,3.6,1.6,0.6,0.3,0.7,8.9
204,Kevon Looney,GSW,22,22.7,6.2,2.7,4.1,65.9,0.0,0.0,0.0,0.8,1.2,63.0,2.3,4.5,6.8,3.0,0.4,0.5,0.5,14.6
205,Dalano Banton,TOR,17,10.7,6.2,2.3,5.5,41.9,0.8,2.4,31.7,0.8,0.9,87.5,0.5,1.0,1.5,1.3,0.6,0.6,0.6,6.3
206,Kenrich Williams,OKC,20,20.4,6.2,2.7,5.3,50.5,0.6,1.8,34.3,0.3,0.6,41.7,1.7,2.2,3.9,1.4,0.7,0.2,0.4,8.9
207,David Roddy,MEM,21,18.1,6.1,2.3,5.9,39.0,1.0,3.2,31.3,0.6,0.8,75.0,0.8,1.9,2.7,0.5,0.4,0.2,0.7,5.5
208,Duncan Robinson,MIA,17,17.2,6.1,2.1,5.9,36.0,1.4,4.3,31.5,0.5,0.6,90.0,0.2,1.8,2.1,1.2,0.2,0.0,0.6,5.2
209,Devonte' Graham,NOP,21,16.2,6.0,1.8,4.7,38.8,1.6,4.0,41.0,0.8,1.0,76.2,0.1,1.3,1.4,2.2,0.5,0.2,0.6,6.7
210,Dwight Powell,DAL,18,17.1,5.9,2.3,3.3,70.0,0.0,0.1,0.0,1.3,2.1,62.2,1.5,1.5,3.0,0.5,0.6,0.4,0.9,7.8
211,Jonathan Kuminga,GSW,18,15.7,5.8,2.2,5.1,42.4,0.5,2.0,25.0,1.0,1.3,75.0,0.9,2.1,2.9,0.8,0.3,0.6,1.3,5.9
212,Isaiah Livers,DET,22,19.5,5.8,1.9,4.7,40.4,1.3,3.7,35.8,0.7,0.9,75.0,0.5,1.8,2.3,0.6,0.4,0.5,0.6,6.0
213,Alex Caruso,CHI,21,25.5,5.8,1.9,4.3,42.9,1.0,2.5,38.5,1.1,1.5,77.4,0.4,2.4,2.9,3.6,1.4,0.8,1.4,10.1
214,Kendrick Nunn,LAL,18,13.9,5.8,2.2,6.1,36.4,0.9,3.1,29.1,0.4,0.5,88.9,0.1,1.3,1.4,1.3,0.1,0.1,1.3,3.3
215,JaMychal Green,GSW,19,15.9,5.7,2.4,4.8,50.0,0.3,1.6,19.4,0.6,0.7,84.6,1.5,2.6,4.2,0.7,0.6,0.4,1.1,8.1
216,Drew Eubanks,POR,21,17.5,5.7,2.3,3.1,72.7,0.0,0.0,0.0,1.1,1.6,67.6,1.7,2.5,4.2,0.8,0.4,1.0,0.8,9.9
217,Javonte Green,CHI,21,16.1,5.7,2.2,3.8,57.5,0.5,1.2,38.5,0.8,1.2,68.0,1.0,2.0,3.0,0.8,1.0,0.7,0.6,8.6
218,Justin Holiday,ATL,18,16.8,5.7,2.2,5.4,40.2,1.3,3.8,35.3,0.0,0.0,0.0,0.1,0.9,0.9,0.9,0.2,0.3,0.6,4.3
219,Thaddeus Young,TOR,18,18.1,5.6,2.4,4.6,53.7,0.1,0.7,7.7,0.7,0.8,85.7,1.8,2.3,4.2,2.0,1.2,0.1,0.8,10.1
220,DeAndre Jordan,DEN,17,16.2,5.6,2.4,3.2,75.9,0.1,0.1,100,0.7,1.5,46.2,1.6,4.6,6.2,1.0,0.2,0.7,1.4,10.7
221,Darius Bazley,OKC,17,15.6,5.5,2.1,4.9,43.4,0.5,1.5,36.0,0.8,1.5,50.0,1.1,2.8,3.9,1.1,0.5,1.3,0.6,8.2
222,Nassir Little,POR,21,15.3,5.5,2.0,4.3,47.3,0.8,2.0,37.2,0.7,1.0,66.7,0.3,2.0,2.4,0.9,0.4,0.1,0.7,6.0
223,T.J. McConnell,IND,20,17.8,5.5,2.4,5.4,44.9,0.2,0.6,33.3,0.5,0.6,90.9,0.7,1.9,2.5,4.5,1.3,0.3,1.8,9.2
224,Chuma Okeke,ORL,18,21.8,5.4,1.8,4.8,36.8,1.0,3.3,30.0,0.9,1.2,76.2,1.2,3.1,4.2,1.4,0.6,0.5,0.5,8.4
225,Chimezie Metu,SAC,16,12.5,5.4,2.3,4.0,57.8,0.2,1.0,18.8,0.6,0.7,90.9,0.7,2.6,3.3,0.7,0.3,0.2,0.6,7.5
226,Montrezl Harrell,PHI,19,12.4,5.4,1.8,3.3,54.0,0.0,0.0,0.0,1.8,2.5,74.5,1.1,1.9,3.1,0.5,0.2,0.4,0.7,6.8
227,Theo Maledon,CHA,19,16.5,5.4,1.9,4.2,45.6,0.6,1.6,36.7,1.1,1.2,87.0,0.2,2.3,2.4,2.5,0.8,0.2,1.3,7.7
228,Wenyen Gabriel,LAL,18,13.8,5.4,2.1,3.4,61.3,0.2,0.6,27.3,1.0,1.2,81.8,1.1,2.5,3.6,0.7,0.6,0.5,0.7,8.4
229,Maxi Kleber,DAL,17,25.4,5.4,1.9,4.3,45.2,0.8,2.6,31.1,0.6,0.8,78.6,0.8,2.8,3.5,1.1,0.4,0.9,0.6,8.1
230,George Hill,MIL,20,20.7,5.4,1.7,4.2,41.0,0.7,2.2,29.5,1.3,1.9,68.4,0.4,1.6,2.0,2.5,0.4,0.2,0.7,6.6
231,MarJon Beauchamp,MIL,15,15.5,5.3,2.0,5.2,38.5,0.8,2.7,29.3,0.5,0.7,70.0,0.9,2.0,2.9,0.4,0.5,0.1,1.2,4.6
232,James Bouknight,CHA,19,17.2,5.3,2.0,5.9,33.6,0.7,3.1,23.7,0.5,0.8,62.5,0.3,2.1,2.4,1.4,0.5,0.2,0.9,4.5
233,Garrison Mathews,HOU,18,13.6,5.2,1.4,3.7,37.9,1.3,3.5,38.1,1.1,1.1,95.0,0.1,1.0,1.1,0.4,0.4,0.1,0.3,4.5
234,Jake LaRavia,MEM,16,18.4,5.1,1.8,4.4,41.4,1.2,3.1,38.8,0.3,0.3,100,0.8,2.3,3.1,1.0,0.6,0.2,0.9,6.5
235,Daniel Gafford,WAS,22,12.5,5.1,2.0,2.8,73.8,0.0,0.0,0.0,1.0,1.6,62.9,1.4,2.3,3.7,0.4,0.4,0.9,1.0,8.1
236,Walker Kessler,UTA,21,15.3,5.0,2.1,3.0,71.4,0.0,0.0,0.0,0.7,1.4,51.7,2.0,2.9,4.9,0.6,0.2,1.6,0.7,10.1
237,Danuel House Jr.,PHI,20,18.3,5.0,1.6,3.4,47.1,0.7,2.0,35.9,1.1,1.4,75.0,0.2,1.8,2.0,0.8,0.3,0.3,0.6,5.5
238,Moses Moody,GSW,18,14.8,4.9,1.6,3.9,39.4,0.8,2.6,32.6,1.0,1.2,81.8,0.3,1.6,1.8,0.6,0.4,0.3,1.1,4.3
239,Isaiah Joe,OKC,16,8.1,4.9,1.6,3.4,47.3,1.3,2.9,43.5,0.4,0.6,77.8,0.1,1.2,1.3,0.9,0.3,0.1,0.3,5.3
240,Isaiah Roby,SAS,17,13.0,4.9,1.9,4.1,45.7,0.6,1.7,37.9,0.5,1.1,44.4,0.4,2.2,2.6,1.3,0.4,0.4,0.5,6.2
241,Kevin Knox II,DET,17,13.4,4.9,1.8,4.1,44.3,0.9,2.6,33.3,0.4,0.5,66.7,0.5,1.8,2.2,0.4,0.4,0.4,0.5,5.4
242,Reggie Bullock,DAL,20,27.7,4.9,1.6,5.4,29.9,1.2,4.4,27.3,0.5,0.7,69.2,0.5,2.5,3.0,1.0,0.9,0.1,0.4,5.4
243,Derrick Jones Jr.,CHI,16,12.7,4.8,1.4,3.4,41.8,0.2,1.0,18.8,1.8,2.1,84.8,0.9,1.4,2.3,0.5,0.4,0.8,0.2,6.3
244,Cory Joseph,DET,18,14.1,4.8,1.8,4.3,42.9,0.6,1.6,37.9,0.5,0.8,64.3,0.3,0.6,0.9,2.8,0.3,0.1,0.4,5.7
245,Luke Kornet,BOS,17,13.7,4.7,1.9,2.8,68.1,0.1,0.3,40.0,0.8,0.9,93.3,1.3,2.5,3.8,0.9,0.1,1.1,0.5,9.1
