,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
77,Luguentz Dort,OKC,22,30.5,14.1,5.0,12.1,41.0,1.7,5.4,31.4,2.5,3.3,77.8,1.5,2.9,4.4,2.3,1.2,0.4,1.2,13.4
78,Saddiq Bey,DET,20,30.0,14.1,4.5,11.2,40.2,1.5,5.3,27.4,3.7,4.1,90.1,1.1,3.5,4.6,1.5,0.8,0.2,1.3,12.8
79,Marcus Morris Sr.,LAC,21,30.2,14.0,5.5,12.0,45.8,2.0,5.3,37.5,1.1,1.5,74.2,0.4,4.5,5.0,2.0,0.8,0.4,1.0,14.4
80,Collin Sexton,UTA,24,24.0,13.9,4.9,9.9,49.2,0.9,2.6,35.5,3.2,3.9,81.9,0.9,1.7,2.5,3.0,0.6,0.1,1.8,12.6
81,Scottie Barnes,TOR,18,32.4,13.8,5.7,13.2,42.9,1.3,3.9,33.8,1.2,1.6,72.4,1.8,4.5,6.3,5.2,0.9,0.9,2.3,16.9
82,Malik Beasley,UTA,24,26.4,13.6,4.8,11.5,41.9,3.2,8.0,39.4,0.8,0.8,90.0,0.7,3.3,3.9,1.6,1.0,0.2,0.9,12.6
83,Rudy Gobert,MIN,20,31.6,13.6,5.0,7.8,64.5,0.0,0.1,0.0,3.6,4.9,73.2,3.8,8.1,11.8,0.9,0.7,1.4,1.6,22.6
84,Jarrett Allen,CLE,17,32.0,13.5,5.5,9.4,58.8,0.0,0.1,0.0,2.4,3.1,78.8,2.9,7.8,10.8,1.3,0.5,1.2,1.7,21.1
85,Bobby Portis,MIL,20,27.0,13.3,5.5,11.6,47.4,1.3,3.8,32.9,1.1,1.4,77.8,2.5,8.1,10.6,2.2,0.4,0.4,1.1,19.3
86,Harrison Barnes,SAC,20,30.5,13.2,4.0,8.4,47.6,0.9,3.2,28.1,4.3,5.0,86.9,1.1,4.4,5.5,2.0,0.9,0.2,1.2,15.4
87,Bol Bol,ORL,22,27.1,13.1,5.4,9.0,60.1,0.8,2.0,40.9,1.5,2.0,76.7,1.5,6.3,7.8,1.0,0.4,1.9,2.0,18.1
88,Kelly Olynyk,UTA,24,28.5,13.1,4.6,8.2,55.8,1.6,3.4,47.6,2.3,2.9,79.7,1.4,3.5,4.9,3.2,1.3,0.8,2.2,16.8
89,Cameron Payne,PHX,19,25.5,13.1,4.9,11.7,41.7,1.8,4.6,39.8,1.4,1.8,77.1,0.4,2.2,2.6,5.2,0.9,0.3,2.2,12.6
